"year","JanFeb_ice","MarApr_ice"
1953,0.880029771607108,1.43219481547397
1954,1.02237054181365,0.261930068429038
1955,0.58095008864285,0.459290273726811
1956,0.89535424516731,1.46356997036655
1957,0.652731003428465,0.669663639869944
1958,0.838582811152883,-0.486532234341553
1959,-0.334847219843336,0.266087505721592
1960,0.44865006302069,0.287773397182942
1961,0.242474175399457,0.965882659368922
1962,-0.928384947599604,-0.221418100092391
1963,-0.00117306060853129,0.779330005974826
1964,0.456888647562278,0.709162234481123
1965,0.574674613024657,0.149673954800214
1966,-0.441973066691074,-0.400998054495133
1967,-0.0660593828961526,-1.19907610927601
1968,0.00808579418590312,-0.134108206239704
1969,-0.491522634948711,0.256539407485444
1970,0.376438278995208,0.27145586475439
1971,1.30082100203203,1.94399763402304
1972,0.125600913000007,1.0724306861914
1973,0.191861946056333,1.01425852708892
1974,0.398992027168149,0.871797422674973
1975,1.17360482562855,1.73837950762797
1976,1.73350984121262,1.97884761717135
1977,0.954569207318926,0.700637760440468
1978,-0.353744939100164,-0.295834487757665
1979,-1.84922755893972,-1.46277847402496
1980,0.566708966203712,0.0041493585967781
1981,0.406911356418844,-0.648144294046403
1982,-0.686224739675281,-0.897044074991948
1983,0.307882410703826,-0.152170842110449
1984,-0.498276325857444,0.637433990462041
1985,-1.99482957164669,-0.0262548283939812
1986,-0.722370937894174,-0.203067736258641
1987,-0.698203064059971,-0.601985746426873
1988,-0.487315495026769,0.552249404446061
1989,-0.443136323573531,-1.70854019783269
1990,0.51302570035843,0.109800530468765
1991,0.835550809760834,0.537616912923171
1992,0.301357620711016,0.841572565737447
1993,-0.0445464562281845,-0.233179132587778
1994,-0.430980229380306,0.521067229262932
1995,0.946900293564472,0.741632020980939
1996,-0.534791188374178,-1.26876832163508
1997,0.0445451974104678,0.0399256178574657
1998,1.15542166628554,-0.305392205341321
1999,0.261788276469227,0.452033090108009
2000,0.983437473199299,-0.521587939653134
2001,-1.87926761763268,-1.2648112539198
2002,1.52708503603654,-0.845539556087943
2003,-0.596450457587804,-0.861831988605286
2004,-0.606655307376077,-0.572833972012502
2005,-1.01189679400442,-0.571865551025632
2006,1.0151345604832,-0.366038707704261
2007,-0.0368295709713829,0.040205756744333
2008,0.284231004321803,1.19396483244958
2009,1.17416997483571,0.383139900227698
2010,0.628612320395934,1.00992669182749
2011,-0.159057897720935,-0.524209676476794
2012,1.22595071989389,1.3095460251266
2013,0.743386559176379,0.786593720963434
2014,-0.841711860867077,-0.701914678945381
2015,-1.49885803522264,-0.732629547911052
2016,-1.55738668831235,-1.02455873750578
2017,-1.43905025017039,-0.883959903100028
2018,-2.19926048938493,-2.59418826647636
2019,-1.64055391937822,-2.72227808977667
2020,-0.441205935760171,-1.08219875181266
2021,-0.862497775913297,-0.93802093417077
